,coin,duration,favorite,like,sectid,sectname,time,view
0,556,293,5174,304,17,单机联机,2009-06-26 07:11:36,555955
1,1598,44,14606,858,74,日常,2009-06-26 07:11:36,1402988
2,3524,171,14885,1809,184,预告 资讯,2009-06-26 07:11:36,1415098
0,62.0,320.0,273.0,16.0,24.0,MAD-AMV,2009-07-06 07:11:36,11790.0
1,5.0,1194.5,68.5,6.0,19.0,Mugen,2009-07-06 07:11:36,4476.5
2,61.0,241.25,557.5,32.0,30.0,VOCALOID-UTAU,2009-07-06 07:11:36,18658.25
3,18.0,844.0,336.0,18.0,29.0,三次元音乐,2009-07-06 07:11:36,34908.0
4,33.73,487.91,342.45,34.36,17.0,单机联机,2009-07-06 07:11:36,29626.09
5,8.0,265.0,95.0,9.0,20.0,宅舞,2009-07-06 07:11:36,10203.0
6,21.0,122.0,326.0,20.0,166.0,广告,2009-07-06 07:11:36,14665.0
7,136.93,283.14,754.71,53.29,21.0,日常,2009-07-06 07:11:36,60395.14
8,23.0,984.0,499.0,40.0,171.0,电子竞技,2009-07-06 07:11:36,45693.0
9,12.5,150.5,223.0,6.5,47.0,短片-手书-配音,2009-07-06 07:11:36,9345.5
10,63.9,548.1,387.1,24.4,27.0,综合,2009-07-06 07:11:36,25709.1
11,46.8,264.5,305.8,45.4,31.0,翻唱,2009-07-06 07:11:36,26047.2
12,1875.71,323.29,15219.0,835.86,26.0,音MAD,2009-07-06 07:11:36,329886.86
13,113.15,468.77,1147.46,56.08,130.0,音乐选集,2009-07-06 07:11:36,46072.77
14,45.44,175.0,272.0,22.44,22.0,鬼畜调教,2009-07-06 07:11:36,23211.56
0,58.0,97.0,53.0,2.0,24.0,MAD-AMV,2009-07-16 07:11:36,7044.0
1,33.0,112.0,497.0,34.0,30.0,VOCALOID-UTAU,2009-07-16 07:11:36,16264.0
2,3.0,345.0,55.0,2.0,29.0,三次元音乐,2009-07-16 07:11:36,7259.0
3,46.0,715.5,314.0,15.5,17.0,单机联机,2009-07-16 07:11:36,22273.0
4,23.0,352.0,415.0,6.0,59.0,演奏,2009-07-16 07:11:36,114538.0
5,6.56,421.56,82.11,4.22,27.0,综合,2009-07-16 07:11:36,5348.11
6,57.0,313.0,271.0,15.0,31.0,翻唱,2009-07-16 07:11:36,4302.0
7,13.0,160.0,90.0,10.0,26.0,音MAD,2009-07-16 07:11:36,7547.0
8,9.5,353.0,86.0,6.0,130.0,音乐选集,2009-07-16 07:11:36,9668.0
9,8.0,104.0,76.0,7.0,136.0,音游,2009-07-16 07:11:36,5017.0
10,7.0,125.0,119.0,7.0,22.0,鬼畜调教,2009-07-16 07:11:36,6012.0
0,3.0,95.0,59.0,2.0,24.0,MAD-AMV,2009-07-26 07:11:36,4445.0
1,6.0,343.0,62.0,2.0,17.0,单机联机,2009-07-26 07:11:36,1375.0
2,129.0,198.67,218.0,41.67,130.0,音乐选集,2009-07-26 07:11:36,9403.67
0,129.0,153.5,1844.5,21.0,29.0,三次元音乐,2009-08-05 07:11:36,79155.5
1,3.5,497.25,51.75,1.75,17.0,单机联机,2009-08-05 07:11:36,7203.25
2,73.67,334.33,716.33,53.67,21.0,日常,2009-08-05 07:11:36,5773.33
3,4.0,143.0,38.0,1.0,59.0,演奏,2009-08-05 07:11:36,6550.0
4,69.6,490.2,543.0,17.8,47.0,短片-手书-配音,2009-08-05 07:11:36,19655.4
5,4.0,202.0,40.5,1.5,27.0,综合,2009-08-05 07:11:36,3804.5
6,134.5,284.5,569.0,54.5,31.0,翻唱,2009-08-05 07:11:36,19688.0
7,60.0,106.0,422.0,4.0,26.0,音MAD,2009-08-05 07:11:36,18971.0
8,13.71,251.0,88.14,11.86,130.0,音乐选集,2009-08-05 07:11:36,4588.29
9,4.0,144.0,46.0,3.0,136.0,音游,2009-08-05 07:11:36,6853.0
10,17.0,122.0,76.0,5.0,22.0,鬼畜调教,2009-08-05 07:11:36,5492.0
0,7.5,355.5,60.5,2.5,24.0,MAD-AMV,2009-08-15 07:11:36,6461.0
1,2.0,353.0,58.0,1.0,29.0,三次元音乐,2009-08-15 07:11:36,1313.0
2,120.67,334.0,484.67,21.33,17.0,单机联机,2009-08-15 07:11:36,36100.0
3,20.33,340.67,58.67,0.67,27.0,综合,2009-08-15 07:11:36,8943.33
4,14.25,331.25,78.5,1.0,31.0,翻唱,2009-08-15 07:11:36,5064.75
5,9.0,203.0,97.0,6.0,26.0,音MAD,2009-08-15 07:11:36,43750.0
6,19.0,284.0,207.0,1.5,130.0,音乐选集,2009-08-15 07:11:36,5225.0
0,15.0,483.0,86.0,0.0,24.0,MAD-AMV,2009-08-25 07:11:36,3537.0
1,3.0,134.0,19.0,2.0,17.0,单机联机,2009-08-25 07:11:36,2250.0
2,349.0,16.0,467.0,5.0,32.0,完结动画,2009-08-25 07:11:36,515028.0
3,11.67,417.0,169.33,1.33,27.0,综合,2009-08-25 07:11:36,7693.0
4,24.67,60.0,102.67,6.67,26.0,音MAD,2009-08-25 07:11:36,7564.33
5,8.0,391.67,87.33,6.67,130.0,音乐选集,2009-08-25 07:11:36,2810.33
6,62.4,109.2,273.6,23.4,22.0,鬼畜调教,2009-08-25 07:11:36,26099.0
0,65.0,288.0,46.0,3.0,24.0,MAD-AMV,2009-09-04 07:11:36,11605.0
1,2.0,241.0,26.0,1.0,174.0,其他,2009-09-04 07:11:36,2651.0
2,2.0,16.0,14.0,0.0,17.0,单机联机,2009-09-04 07:11:36,2478.0
3,1.0,1269.0,35.0,0.0,21.0,日常,2009-09-04 07:11:36,2361.0
4,500.0,249.0,2559.0,56.0,47.0,短片-手书-配音,2009-09-04 07:11:36,54282.0
5,5.0,194.75,42.25,6.25,27.0,综合,2009-09-04 07:11:36,3395.25
6,51.0,544.5,589.5,3.0,31.0,翻唱,2009-09-04 07:11:36,21575.5
7,18.0,0.0,113.0,20.0,122.0,野生技术协会,2009-09-04 07:11:36,19746.0
8,366.5,193.5,1848.5,26.5,26.0,音MAD,2009-09-04 07:11:36,91549.5
9,109.14,250.71,633.0,22.43,130.0,音乐选集,2009-09-04 07:11:36,21145.86
0,20.0,534.4,178.8,3.6,24.0,MAD-AMV,2009-09-14 07:11:36,6052.0
1,61.33,180.33,1766.67,63.33,25.0,MMD-3D,2009-09-14 07:11:36,3137.67
2,19.0,201.0,150.0,7.0,54.0,OP-ED-OST,2009-09-14 07:11:36,5735.0
3,5.43,371.86,49.14,0.29,17.0,单机联机,2009-09-14 07:11:36,7432.29
4,44.0,731.5,599.5,3.5,32.0,完结动画,2009-09-14 07:11:36,62367.0
5,3.0,687.0,60.0,1.0,21.0,日常,2009-09-14 07:11:36,5931.0
6,4.0,136.0,16.0,1.0,171.0,电子竞技,2009-09-14 07:11:36,5467.0
7,26.0,242.5,261.5,4.5,47.0,短片-手书-配音,2009-09-14 07:11:36,7840.75
8,6.9,526.0,56.0,4.7,27.0,综合,2009-09-14 07:11:36,5224.4
9,18.33,143.33,207.33,1.33,31.0,翻唱,2009-09-14 07:11:36,15564.33
10,10.2,291.4,123.0,1.4,26.0,音MAD,2009-09-14 07:11:36,12759.2
11,63.06,661.39,763.5,9.89,130.0,音乐选集,2009-09-14 07:11:36,22500.56
12,4.83,159.0,64.0,2.67,22.0,鬼畜调教,2009-09-14 07:11:36,5187.17
0,8.0,681.0,93.0,1.0,24.0,MAD-AMV,2009-09-24 07:11:36,8791.0
1,3.6,554.0,17.0,0.4,17.0,单机联机,2009-09-24 07:11:36,2937.8
2,130.0,1388.0,690.0,8.0,168.0,国产原创相关,2009-09-24 07:11:36,26697.0
3,128.33,15731.0,3544.33,11.0,32.0,完结动画,2009-09-24 07:11:36,179030.33
4,13.0,370.0,127.5,2.5,21.0,日常,2009-09-24 07:11:36,8802.5
5,12.0,190.0,97.0,3.0,47.0,短片-手书-配音,2009-09-24 07:11:36,4362.0
6,6.5,231.5,45.5,0.5,27.0,综合,2009-09-24 07:11:36,2538.0
7,10.0,89.0,106.0,1.0,31.0,翻唱,2009-09-24 07:11:36,6419.0
8,10.0,1589.0,76.0,0.0,26.0,音MAD,2009-09-24 07:11:36,3424.0
9,7.0,206.5,54.0,2.0,130.0,音乐选集,2009-09-24 07:11:36,3656.5
0,5.0,750.0,110.0,2.0,25.0,MMD-3D,2009-10-04 07:11:36,6557.0
1,12.6,483.0,16.0,0.2,17.0,单机联机,2009-10-04 07:11:36,3329.8
2,49.0,1469.0,641.0,10.0,32.0,完结动画,2009-10-04 07:11:36,20071.0
3,7.0,188.5,75.5,1.75,21.0,日常,2009-10-04 07:11:36,6344.0
4,352.5,162.0,4092.0,110.5,27.0,综合,2009-10-04 07:11:36,109010.5
5,5.0,260.0,20.0,1.0,124.0,趣味科普人文,2009-10-04 07:11:36,-1.0
6,6.0,1690.0,23.5,0.5,33.0,连载动画,2009-10-04 07:11:36,3431.5
7,17.0,36.0,41.0,0.0,26.0,音MAD,2009-10-04 07:11:36,3817.0
8,8.0,270.67,28.33,0.67,130.0,音乐选集,2009-10-04 07:11:36,2701.33
0,37.0,340.17,49.33,0.33,24.0,MAD-AMV,2009-10-14 07:11:36,5214.33
1,239.5,188.0,3019.5,103.5,30.0,VOCALOID-UTAU,2009-10-14 07:11:36,62129.5
2,6.62,680.62,27.12,0.25,17.0,单机联机,2009-10-14 07:11:36,3540.75
3,39.0,1439.0,677.0,1.0,32.0,完结动画,2009-10-14 07:11:36,31763.0
4,14.0,229.0,25.5,0.75,21.0,日常,2009-10-14 07:11:36,6063.0
5,17.0,274.0,99.0,1.0,47.0,短片-手书-配音,2009-10-14 07:11:36,3214.0
6,7.38,5196.12,51.0,1.25,27.0,综合,2009-10-14 07:11:36,4987.62
7,13.5,160.5,57.5,1.5,31.0,翻唱,2009-10-14 07:11:36,6598.0
8,174.0,1879.0,12.0,0.0,33.0,连载动画,2009-10-14 07:11:36,5857.0
9,185.0,221.0,2228.0,178.5,26.0,音MAD,2009-10-14 07:11:36,136843.0
10,30.67,661.0,30.67,1.0,130.0,音乐选集,2009-10-14 07:11:36,8558.67
11,45.0,106.0,1021.0,9.0,136.0,音游,2009-10-14 07:11:36,186785.0
0,16.5,333.0,64.0,1.0,29.0,三次元音乐,2009-10-24 07:11:36,10124.0
1,5.0,149.0,28.0,1.0,174.0,其他,2009-10-24 07:11:36,3101.0
2,6.67,1950.0,29.0,0.67,17.0,单机联机,2009-10-24 07:11:36,4290.33
3,23920.0,219.0,133501.0,3424.0,47.0,短片-手书-配音,2009-10-24 07:11:36,2138881.0
4,17.0,434.0,6.0,0.0,27.0,综合,2009-10-24 07:11:36,4089.0
5,10.0,1879.5,11.0,1.0,33.0,连载动画,2009-10-24 07:11:36,2960.5
6,26.0,1293.5,86.0,35.75,130.0,音乐选集,2009-10-24 07:11:36,6092.25
0,1.0,0.0,9.0,0.0,24.0,MAD-AMV,2009-11-03 07:11:36,3919.0
1,21.0,237.0,211.0,3.0,30.0,VOCALOID-UTAU,2009-11-03 07:11:36,20603.0
2,2.0,130.0,5.0,1.0,29.0,三次元音乐,2009-11-03 07:11:36,3837.0
3,6.18,2022.55,10.55,0.45,17.0,单机联机,2009-11-03 07:11:36,3015.09
4,113.5,4804.83,1196.5,10.17,32.0,完结动画,2009-11-03 07:11:36,100141.5
5,95.67,218.33,1174.67,9.33,21.0,日常,2009-11-03 07:11:36,111121.33
6,2.0,359.0,7.0,2.0,171.0,电子竞技,2009-11-03 07:11:36,1721.0
7,4.0,112.0,38.0,1.0,47.0,短片-手书-配音,2009-11-03 07:11:36,4102.0
8,21.17,171.83,222.67,2.0,27.0,综合,2009-11-03 07:11:36,7537.17
9,2.0,1109.0,7.0,0.0,31.0,翻唱,2009-11-03 07:11:36,2116.0
10,6.33,631.11,42.11,0.56,130.0,音乐选集,2009-11-03 07:11:36,2567.11
11,11.5,324.5,92.0,1.0,22.0,鬼畜调教,2009-11-03 07:11:36,12534.25
0,6.33,888.67,35.33,1.0,24.0,MAD-AMV,2009-11-13 07:11:36,2965.0
1,2668.0,215.0,13410.0,440.0,126.0,人力VOCALOID,2009-11-13 07:11:36,553704.0
2,26.5,2890.94,11.69,0.69,17.0,单机联机,2009-11-13 07:11:36,3962.5
3,14.5,338.5,73.0,1.0,21.0,日常,2009-11-13 07:11:36,6563.0
4,439.0,219.0,4099.0,43.0,47.0,短片-手书-配音,2009-11-13 07:11:36,78732.0
5,3.0,119.67,22.33,0.67,27.0,综合,2009-11-13 07:11:36,2808.33
6,2.0,580.0,14.0,0.0,31.0,翻唱,2009-11-13 07:11:36,1368.0
7,7.0,524.2,14.0,0.6,130.0,音乐选集,2009-11-13 07:11:36,2556.0
8,9.0,163.5,27.0,0.5,22.0,鬼畜调教,2009-11-13 07:11:36,11565.0
0,11.5,458.0,81.0,0.0,24.0,MAD-AMV,2009-11-23 07:11:36,5854.0
1,3.0,500.0,69.0,0.0,25.0,MMD-3D,2009-11-23 07:11:36,2315.0
2,347.0,879.0,2134.0,1.0,29.0,三次元音乐,2009-11-23 07:11:36,94734.0
3,13.38,2115.12,7.75,0.38,17.0,单机联机,2009-11-23 07:11:36,3231.62
4,80.0,1449.0,2586.0,10.0,32.0,完结动画,2009-11-23 07:11:36,96203.0
5,13.33,783.0,23.0,0.33,27.0,综合,2009-11-23 07:11:36,2189.0
6,195.0,275.0,2774.0,12.0,31.0,翻唱,2009-11-23 07:11:36,79758.0
7,1876.0,285.0,12909.0,81.0,26.0,音MAD,2009-11-23 07:11:36,383289.0
8,12.0,245.8,29.4,0.8,130.0,音乐选集,2009-11-23 07:11:36,2920.2
9,7.0,105.0,42.0,0.0,22.0,鬼畜调教,2009-11-23 07:11:36,9321.0
0,171.33,212.67,991.0,27.67,24.0,MAD-AMV,2009-12-03 07:11:36,27222.0
1,2.0,416.0,8.0,0.0,25.0,MMD-3D,2009-12-03 07:11:36,953.0
2,3.0,691.0,5.0,0.0,19.0,Mugen,2009-12-03 07:11:36,4434.0
3,3.0,109.0,18.0,5.0,30.0,VOCALOID-UTAU,2009-12-03 07:11:36,4516.0
4,126.0,255.0,1147.0,11.0,126.0,人力VOCALOID,2009-12-03 07:11:36,46815.0
5,5.83,305.17,13.0,2.67,17.0,单机联机,2009-12-03 07:11:36,4260.5
6,66.5,166.0,62.0,12.0,21.0,日常,2009-12-03 07:11:36,13338.5
7,2.5,178.5,22.25,0.75,47.0,短片-手书-配音,2009-12-03 07:11:36,2214.75
8,4.67,133.0,41.33,1.0,27.0,综合,2009-12-03 07:11:36,1864.33
9,23.0,333.0,323.0,12.0,26.0,音MAD,2009-12-03 07:11:36,30522.0
10,8.8,212.2,75.0,3.8,130.0,音乐选集,2009-12-03 07:11:36,15776.4
11,57.0,119.0,560.0,3.5,22.0,鬼畜调教,2009-12-03 07:11:36,125747.5
0,1.0,577.0,11.0,0.0,19.0,Mugen,2009-12-13 07:11:36,4287.0
1,5.0,243.0,83.0,4.0,30.0,VOCALOID-UTAU,2009-12-13 07:11:36,4106.0
2,3.0,11.0,37.0,1.0,31.0,翻唱,2009-12-13 07:11:36,5287.0
3,3.0,666.0,21.67,1.33,130.0,音乐选集,2009-12-13 07:11:36,2319.0
0,6.0,133.0,44.0,3.0,30.0,VOCALOID-UTAU,2009-12-23 07:11:36,2992.0
1,9.8,622.0,12.4,1.0,17.0,单机联机,2009-12-23 07:11:36,3390.8
2,4.5,109.5,39.5,2.5,20.0,宅舞,2009-12-23 07:11:36,9572.5
3,10.0,355.6,24.8,1.4,21.0,日常,2009-12-23 07:11:36,3709.2
4,16.17,619.83,78.0,2.0,27.0,综合,2009-12-23 07:11:36,6235.67
5,73.86,635.43,540.14,22.86,130.0,音乐选集,2009-12-23 07:11:36,19261.0
0,7.2,145.0,32.8,1.9,24.0,MAD-AMV,2010-01-02 07:11:36,3289.1
1,4.0,444.0,15.0,0.0,25.0,MMD-3D,2010-01-02 07:11:36,2167.0
2,6.45,255.09,97.45,2.18,30.0,VOCALOID-UTAU,2010-01-02 07:11:36,3411.36
3,2.8,302.6,15.0,0.4,29.0,三次元音乐,2010-01-02 07:11:36,2352.8
4,47.5,74.5,381.0,9.5,126.0,人力VOCALOID,2010-01-02 07:11:36,30863.5
5,17.0,153.0,85.0,1.0,174.0,其他,2010-01-02 07:11:36,9011.0
6,11.43,660.13,71.13,1.17,17.0,单机联机,2010-01-02 07:11:36,12087.33
7,10.33,1170.67,216.0,5.0,20.0,宅舞,2010-01-02 07:11:36,25208.0
8,48.83,1346.83,1044.67,8.17,32.0,完结动画,2010-01-02 07:11:36,79541.5
9,31.0,1030.0,362.0,2.0,152.0,官方延伸,2010-01-02 07:11:36,-1.0
10,10.9,259.69,61.1,1.66,21.0,日常,2010-01-02 07:11:36,8040.34
11,1.0,348.0,2.0,1.0,171.0,电子竞技,2010-01-02 07:11:36,1348.0
12,44.5,324.5,550.67,6.17,47.0,短片-手书-配音,2010-01-02 07:11:36,14886.67
13,21.36,395.9,120.28,2.38,27.0,综合,2010-01-02 07:11:36,10096.85
14,33.15,350.31,218.54,3.0,31.0,翻唱,2010-01-02 07:11:36,15851.38
15,193.67,1210.67,713.33,0.33,33.0,连载动画,2010-01-02 07:11:36,197494.33
16,10.0,756.0,171.0,3.0,122.0,野生技术协会,2010-01-02 07:11:36,8063.0
17,57.5,148.5,274.5,6.5,26.0,音MAD,2010-01-02 07:11:36,13250.5
18,12.0,321.94,114.94,1.1,130.0,音乐选集,2010-01-02 07:11:36,6691.48
19,4.0,73.5,9.0,0.5,22.0,鬼畜调教,2010-01-02 07:11:36,4495.0
0,9.08,221.08,138.85,0.54,24.0,MAD-AMV,2010-01-22 07:11:36,7362.23
1,25.29,345.71,131.43,0.29,25.0,MMD-3D,2010-01-22 07:11:36,6618.0
2,0.67,737.0,2.33,0.33,19.0,Mugen,2010-01-22 07:11:36,2106.67
3,14.27,281.38,71.78,2.22,30.0,VOCALOID-UTAU,2010-01-22 07:11:36,1934.89
4,146.33,479.0,23.22,0.33,29.0,三次元音乐,2010-01-22 07:11:36,4716.11
5,9.0,301.33,185.33,0.0,174.0,其他,2010-01-22 07:11:36,23443.0
6,6.18,508.33,30.82,0.61,17.0,单机联机,2010-01-22 07:11:36,5463.58
7,172.0,262.5,125.0,1.5,153.0,国产动画,2010-01-22 07:11:36,8536.0
8,11.0,901.0,364.0,0.0,20.0,宅舞,2010-01-22 07:11:36,20995.0
9,38.0,1770.14,491.43,1.0,32.0,完结动画,2010-01-22 07:11:36,27327.57
10,28.68,417.85,195.39,2.61,22.29,日常,2010-01-22 07:11:36,19443.66
11,22.17,283.67,308.17,4.5,47.0,短片-手书-配音,2010-01-22 07:11:36,9336.5
12,63.41,595.06,176.03,1.71,27.0,综合,2010-01-22 07:11:36,10760.26
13,113.84,271.68,427.58,5.16,31.0,翻唱,2010-01-22 07:11:36,30198.68
14,37.54,1185.62,85.15,0.23,33.0,连载动画,2010-01-22 07:11:36,61202.54
15,84.33,89.0,558.67,6.0,26.0,音MAD,2010-01-22 07:11:36,1487.33
16,21.7,463.85,129.7,3.36,130.0,音乐选集,2010-01-22 07:11:36,10461.79
17,7.0,122.0,21.0,1.0,136.0,音游,2010-01-22 07:11:36,3197.0
18,26.38,396.5,517.88,6.25,22.0,鬼畜调教,2010-01-22 07:11:36,35659.12
0,4.56,245.78,24.22,6.0,24.0,MAD-AMV,2010-02-01 07:11:36,2944.33
1,2.12,175.25,29.38,0.38,25.0,MMD-3D,2010-02-01 07:11:36,2912.38
2,1.0,821.5,8.5,0.5,19.0,Mugen,2010-02-01 07:11:36,2322.5
3,6.26,250.26,50.41,2.03,30.0,VOCALOID-UTAU,2010-02-01 07:11:36,3194.92
4,34.0,208.5,201.0,11.0,29.0,三次元音乐,2010-02-01 07:11:36,7142.5
5,8.0,245.0,48.5,0.0,174.0,其他,2010-02-01 07:11:36,8696.25
6,2.9,566.81,11.79,0.74,17.0,单机联机,2010-02-01 07:11:36,4433.05
7,3.0,1560.0,15.0,2.0,153.0,国产动画,2010-02-01 07:11:36,11180.0
8,38.67,2878.0,1059.17,2.0,32.0,完结动画,2010-02-01 07:11:36,52395.67
9,7.0,107.0,3.0,2.0,183.0,影视剪辑,2010-02-01 07:11:36,4087.0
10,2.0,56.0,2.0,0.0,172.0,手机游戏,2010-02-01 07:11:36,1996.0
11,11.0,193.0,59.0,0.0,138.0,搞笑,2010-02-01 07:11:36,24243.0
12,5.63,300.46,52.41,0.98,21.0,日常,2010-02-01 07:11:36,9243.22
13,227.0,420.0,2205.0,118.0,171.0,电子竞技,2010-02-01 07:11:36,183951.0
14,70.6,275.0,903.6,7.2,47.0,短片-手书-配音,2010-02-01 07:11:36,27729.2
15,457.06,423.18,2218.8,68.35,27.53,综合,2010-02-01 07:11:36,6606.39
16,45.35,238.71,308.88,4.29,31.0,翻唱,2010-02-01 07:11:36,21993.59
17,10.0,1335.09,20.55,0.64,33.0,连载动画,2010-02-01 07:11:36,14962.27
18,233.0,106.2,1891.8,10.2,26.0,音MAD,2010-02-01 07:11:36,73051.2
19,8.08,351.24,83.84,4.68,130.0,音乐选集,2010-02-01 07:11:36,6703.27
20,11.58,164.0,172.25,0.92,22.0,鬼畜调教,2010-02-01 07:11:36,24892.17
0,41.88,273.67,274.67,1.12,24.0,MAD-AMV,2010-02-11 07:11:36,13088.24
1,12.25,219.08,199.58,3.33,25.0,MMD-3D,2010-02-11 07:11:36,6393.5
2,40.0,130.0,11.0,1.0,19.0,Mugen,2010-02-11 07:11:36,7792.0
3,29.75,259.21,80.71,3.25,30.0,VOCALOID-UTAU,2010-02-11 07:11:36,3156.17
4,16.0,380.83,142.83,2.5,29.0,三次元音乐,2010-02-11 07:11:36,10464.0
5,132.0,144.0,93.0,0.0,126.0,人力VOCALOID,2010-02-11 07:11:36,14633.0
6,39.52,785.37,33.1,0.62,17.0,单机联机,2010-02-11 07:11:36,8745.9
7,3.0,313.0,40.0,0.0,20.0,宅舞,2010-02-11 07:11:36,7990.0
8,295.25,4795.25,1608.75,2.88,32.0,完结动画,2010-02-11 07:11:36,192986.12
9,7.0,1000.0,22.0,0.0,169.0,布袋戏,2010-02-11 07:11:36,5210.0
10,31.65,426.41,89.46,1.16,21.0,日常,2010-02-11 07:11:36,12820.89
11,4.0,64.0,15.0,0.0,98.0,机械,2010-02-11 07:11:36,8829.0
12,181.0,284.0,1898.0,3.0,59.0,演奏,2010-02-11 07:11:36,191941.0
13,3.0,101.0,4.0,0.0,171.0,电子竞技,2010-02-11 07:11:36,3461.0
14,88.33,656.22,1421.56,27.56,47.0,短片-手书-配音,2010-02-11 07:11:36,46098.67
15,50.44,549.23,397.33,9.5,27.0,综合,2010-02-11 07:11:36,14876.62
16,40.12,247.32,112.08,0.72,31.0,翻唱,2010-02-11 07:11:36,8604.08
17,16.29,1479.0,28.29,0.14,33.0,连载动画,2010-02-11 07:11:36,12028.14
18,16.67,105.33,67.67,0.33,26.0,音MAD,2010-02-11 07:11:36,4098.33
19,26.53,378.62,130.0,1.02,130.0,音乐选集,2010-02-11 07:11:36,9704.16
20,1493.0,124.0,142.0,0.0,184.0,预告 资讯,2010-02-11 07:11:36,90228.0
21,223.5,127.0,953.5,147.0,22.0,鬼畜调教,2010-02-11 07:11:36,73313.0
0,38.17,184.03,176.5,1.47,24.0,MAD-AMV,2010-02-21 07:11:36,6562.77
1,0.0,581.4,17.2,0.2,25.0,MMD-3D,2010-02-21 07:11:36,1857.8
2,0.91,667.27,2.64,0.27,19.0,Mugen,2010-02-21 07:11:36,2438.18
3,36.25,282.45,126.02,7.38,30.0,VOCALOID-UTAU,2010-02-21 07:11:36,5700.6
4,24.29,407.71,137.57,0.71,29.0,三次元音乐,2010-02-21 07:11:36,16064.43
5,44.5,133.5,378.0,2.0,126.0,人力VOCALOID,2010-02-21 07:11:36,33413.0
6,5.4,167.4,215.0,0.0,174.0,其他,2010-02-21 07:11:36,15673.2
7,2.0,130.0,20.0,0.0,75.0,动物圈,2010-02-21 07:11:36,4849.0
8,7.75,663.37,18.17,0.37,17.0,单机联机,2010-02-21 07:11:36,5747.19
9,57.0,631.0,49.0,2.0,20.0,宅舞,2010-02-21 07:11:36,30756.0
10,57.83,3083.83,1120.0,5.17,32.0,完结动画,2010-02-21 07:11:36,41371.08
11,4.0,410.5,102.5,1.5,183.0,影视剪辑,2010-02-21 07:11:36,13918.5
12,2.0,130.0,1.0,0.0,138.0,搞笑,2010-02-21 07:11:36,4170.0
13,16.0,1172.0,1164.0,0.0,127.0,教程演示,2010-02-21 07:11:36,26991.0
14,14.9,190.37,182.13,3.17,21.0,日常,2010-02-21 07:11:36,6257.8
15,0.5,774.67,2.5,0.0,171.0,电子竞技,2010-02-21 07:11:36,2672.17
16,9.4,106.8,45.2,0.0,47.0,短片-手书-配音,2010-02-21 07:11:36,3305.8
17,98.11,411.45,345.53,21.29,27.0,综合,2010-02-21 07:11:36,14138.33
18,15.06,218.68,110.16,0.55,31.0,翻唱,2010-02-21 07:11:36,6221.06
19,30.33,1636.5,398.33,1.17,33.0,连载动画,2010-02-21 07:11:36,66558.83
20,35.11,308.33,258.67,4.0,26.0,音MAD,2010-02-21 07:11:36,19145.11
21,22.19,1126.47,234.16,1.45,130.0,音乐选集,2010-02-21 07:11:36,11644.62
22,1.0,258.0,1.0,0.0,136.0,音游,2010-02-21 07:11:36,2105.0
23,34.12,728.59,216.59,2.47,22.0,鬼畜调教,2010-02-21 07:11:36,22832.35
0,3.87,183.67,58.73,0.4,24.0,MAD-AMV,2010-03-03 07:11:36,3221.27
1,0.0,326.0,6.0,0.5,25.0,MMD-3D,2010-03-03 07:11:36,938.5
2,0.0,703.0,2.17,0.0,19.0,Mugen,2010-03-03 07:11:36,1360.0
3,2.21,298.59,43.28,1.15,30.0,VOCALOID-UTAU,2010-03-03 07:11:36,3332.87
4,23.33,716.67,175.0,6.33,29.0,三次元音乐,2010-03-03 07:11:36,7107.67
5,3.0,140.33,56.33,1.0,126.0,人力VOCALOID,2010-03-03 07:11:36,7130.0
6,679.0,404.0,4035.0,270.5,174.0,其他,2010-03-03 07:11:36,-1.0
7,2.21,543.94,32.55,0.33,17.0,单机联机,2010-03-03 07:11:36,4823.82
8,2.0,1552.0,1.0,0.0,153.0,国产动画,2010-03-03 07:11:36,4729.0
9,0.0,252.0,49.0,0.0,20.0,宅舞,2010-03-03 07:11:36,8185.0
10,110.0,20585.0,3063.0,22.0,32.0,完结动画,2010-03-03 07:11:36,134278.0
11,7.41,412.32,86.51,0.89,21.0,日常,2010-03-03 07:11:36,7965.78
12,17.0,171.67,248.33,0.0,47.0,短片-手书-配音,2010-03-03 07:11:36,5849.67
13,44.88,340.09,452.79,13.21,27.0,综合,2010-03-03 07:11:36,15266.56
14,13.64,327.71,180.64,0.57,31.0,翻唱,2010-03-03 07:11:36,9259.64
15,15.6,1353.2,21.4,0.1,33.0,连载动画,2010-03-03 07:11:36,33302.8
16,6.25,84.75,63.75,0.25,26.0,音MAD,2010-03-03 07:11:36,1849.25
17,11.93,599.04,128.54,1.7,130.0,音乐选集,2010-03-03 07:11:36,4923.51
18,0.0,1122.0,6.0,0.0,136.0,音游,2010-03-03 07:11:36,3230.0
19,7.6,127.2,71.6,0.2,22.0,鬼畜调教,2010-03-03 07:11:36,7785.4
0,0.46,166.38,10.85,0.08,24.0,MAD-AMV,2010-03-13 07:11:36,1796.69
1,7.67,254.0,325.67,0.33,25.0,MMD-3D,2010-03-13 07:11:36,19347.33
2,1.0,803.5,1.75,0.0,19.0,Mugen,2010-03-13 07:11:36,1398.5
3,7.38,300.82,84.49,1.54,30.0,VOCALOID-UTAU,2010-03-13 07:11:36,3685.13
4,4.67,233.11,58.22,0.44,29.0,三次元音乐,2010-03-13 07:11:36,5914.33
5,25.5,117.5,265.5,2.0,126.0,人力VOCALOID,2010-03-13 07:11:36,21916.0
