,coin,duration,favorite,like,mostaid,sectid,sectname,time,view
0,556,293,5174,304,12,17,单机联机,2009-06-26 07:11:36,555955
1,1598,44,14606,858,9,74,日常,2009-06-26 07:11:36,1402988
2,3524,171,14885,1809,7,184,预告 资讯,2009-06-26 07:11:36,1415098
0,62.0,320.0,273.0,16.0,16,24.0,MAD-AMV,2009-07-06 07:11:36,11790.0
1,5.0,1194.5,68.5,6.0,164,19.0,Mugen,2009-07-06 07:11:36,4476.5
2,61.0,241.25,557.5,32.0,152,30.0,VOCALOID-UTAU,2009-07-06 07:11:36,18658.25
3,18.0,844.0,336.0,18.0,39,29.0,三次元音乐,2009-07-06 07:11:36,34908.0
4,33.73,487.91,342.45,34.36,83,17.0,单机联机,2009-07-06 07:11:36,29626.09
5,8.0,265.0,95.0,9.0,138,20.0,宅舞,2009-07-06 07:11:36,10203.0
6,21.0,122.0,326.0,20.0,107,166.0,广告,2009-07-06 07:11:36,14665.0
7,136.93,283.14,754.71,53.29,47,21.0,日常,2009-07-06 07:11:36,60395.14
8,23.0,984.0,499.0,40.0,104,171.0,电子竞技,2009-07-06 07:11:36,45693.0
9,12.5,150.5,223.0,6.5,36,47.0,短片-手书-配音,2009-07-06 07:11:36,9345.5
10,63.9,548.1,387.1,24.4,55,27.0,综合,2009-07-06 07:11:36,25709.1
11,46.8,264.5,305.8,45.4,127,31.0,翻唱,2009-07-06 07:11:36,26047.2
12,1875.71,323.29,15219.0,835.86,20,26.0,音MAD,2009-07-06 07:11:36,329886.86
13,113.15,468.77,1147.46,56.08,73,130.0,音乐选集,2009-07-06 07:11:36,46072.77
14,45.44,175.0,272.0,22.44,33,22.0,鬼畜调教,2009-07-06 07:11:36,23211.56
0,58.0,97.0,53.0,2.0,205,24.0,MAD-AMV,2009-07-16 07:11:36,7044.0
1,33.0,112.0,497.0,34.0,189,30.0,VOCALOID-UTAU,2009-07-16 07:11:36,16264.0
2,3.0,345.0,55.0,2.0,219,29.0,三次元音乐,2009-07-16 07:11:36,7259.0
3,46.0,715.5,314.0,15.5,193,17.0,单机联机,2009-07-16 07:11:36,22273.0
4,23.0,352.0,415.0,6.0,226,59.0,演奏,2009-07-16 07:11:36,114538.0
5,6.56,421.56,82.11,4.22,201,27.0,综合,2009-07-16 07:11:36,5348.11
6,57.0,313.0,271.0,15.0,221,31.0,翻唱,2009-07-16 07:11:36,4302.0
7,13.0,160.0,90.0,10.0,222,26.0,音MAD,2009-07-16 07:11:36,7547.0
8,9.5,353.0,86.0,6.0,217,130.0,音乐选集,2009-07-16 07:11:36,9668.0
9,8.0,104.0,76.0,7.0,200,136.0,音游,2009-07-16 07:11:36,5017.0
10,7.0,125.0,119.0,7.0,220,22.0,鬼畜调教,2009-07-16 07:11:36,6012.0
0,3.0,95.0,59.0,2.0,238,24.0,MAD-AMV,2009-07-26 07:11:36,4445.0
1,6.0,343.0,62.0,2.0,235,17.0,单机联机,2009-07-26 07:11:36,1375.0
2,129.0,198.67,218.0,41.67,239,130.0,音乐选集,2009-07-26 07:11:36,9403.67
0,129.0,153.5,1844.5,21.0,260,29.0,三次元音乐,2009-08-05 07:11:36,79155.5
1,3.5,497.25,51.75,1.75,274,17.0,单机联机,2009-08-05 07:11:36,7203.25
2,73.67,334.33,716.33,53.67,276,21.0,日常,2009-08-05 07:11:36,5773.33
3,4.0,143.0,38.0,1.0,258,59.0,演奏,2009-08-05 07:11:36,6550.0
4,69.6,490.2,543.0,17.8,261,47.0,短片-手书-配音,2009-08-05 07:11:36,19655.4
5,4.0,202.0,40.5,1.5,270,27.0,综合,2009-08-05 07:11:36,3804.5
6,134.5,284.5,569.0,54.5,242,31.0,翻唱,2009-08-05 07:11:36,19688.0
7,60.0,106.0,422.0,4.0,292,26.0,音MAD,2009-08-05 07:11:36,18971.0
8,13.71,251.0,88.14,11.86,290,130.0,音乐选集,2009-08-05 07:11:36,4588.29
9,4.0,144.0,46.0,3.0,243,136.0,音游,2009-08-05 07:11:36,6853.0
10,17.0,122.0,76.0,5.0,256,22.0,鬼畜调教,2009-08-05 07:11:36,5492.0
0,7.5,355.5,60.5,2.5,302,24.0,MAD-AMV,2009-08-15 07:11:36,6461.0
1,2.0,353.0,58.0,1.0,318,29.0,三次元音乐,2009-08-15 07:11:36,1313.0
2,120.67,334.0,484.67,21.33,316,17.0,单机联机,2009-08-15 07:11:36,36100.0
3,20.33,340.67,58.67,0.67,304,27.0,综合,2009-08-15 07:11:36,8943.33
4,14.25,331.25,78.5,1.0,308,31.0,翻唱,2009-08-15 07:11:36,5064.75
5,9.0,203.0,97.0,6.0,294,26.0,音MAD,2009-08-15 07:11:36,43750.0
6,19.0,284.0,207.0,1.5,307,130.0,音乐选集,2009-08-15 07:11:36,5225.0
0,15.0,483.0,86.0,0.0,340,24.0,MAD-AMV,2009-08-25 07:11:36,3537.0
1,3.0,134.0,19.0,2.0,341,17.0,单机联机,2009-08-25 07:11:36,2250.0
2,349.0,16.0,467.0,5.0,323,32.0,完结动画,2009-08-25 07:11:36,515028.0
3,11.67,417.0,169.33,1.33,333,27.0,综合,2009-08-25 07:11:36,7693.0
4,24.67,60.0,102.67,6.67,322,26.0,音MAD,2009-08-25 07:11:36,7564.33
5,8.0,391.67,87.33,6.67,326,130.0,音乐选集,2009-08-25 07:11:36,2810.33
6,62.4,109.2,273.6,23.4,336,22.0,鬼畜调教,2009-08-25 07:11:36,26099.0
0,65.0,288.0,46.0,3.0,366,24.0,MAD-AMV,2009-09-04 07:11:36,11605.0
1,2.0,241.0,26.0,1.0,355,174.0,其他,2009-09-04 07:11:36,2651.0
2,2.0,16.0,14.0,0.0,345,17.0,单机联机,2009-09-04 07:11:36,2478.0
3,1.0,1269.0,35.0,0.0,349,21.0,日常,2009-09-04 07:11:36,2361.0
4,500.0,249.0,2559.0,56.0,363,47.0,短片-手书-配音,2009-09-04 07:11:36,54282.0
5,5.0,194.75,42.25,6.25,356,27.0,综合,2009-09-04 07:11:36,3395.25
6,51.0,544.5,589.5,3.0,351,31.0,翻唱,2009-09-04 07:11:36,21575.5
7,18.0,0.0,113.0,20.0,1113,122.0,野生技术协会,2009-09-04 07:11:36,19746.0
8,366.5,193.5,1848.5,26.5,350,26.0,音MAD,2009-09-04 07:11:36,91549.5
9,109.14,250.71,633.0,22.43,364,130.0,音乐选集,2009-09-04 07:11:36,21145.86
0,20.0,534.4,178.8,3.6,376,24.0,MAD-AMV,2009-09-14 07:11:36,6052.0
1,61.33,180.33,1766.67,63.33,375,25.0,MMD-3D,2009-09-14 07:11:36,3137.67
2,19.0,201.0,150.0,7.0,497,54.0,OP-ED-OST,2009-09-14 07:11:36,5735.0
3,5.43,371.86,49.14,0.29,550,17.0,单机联机,2009-09-14 07:11:36,7432.29
4,44.0,731.5,599.5,3.5,505,32.0,完结动画,2009-09-14 07:11:36,62367.0
5,3.0,687.0,60.0,1.0,380,21.0,日常,2009-09-14 07:11:36,5931.0
6,4.0,136.0,16.0,1.0,521,171.0,电子竞技,2009-09-14 07:11:36,5467.0
7,26.0,242.5,261.5,4.5,498,47.0,短片-手书-配音,2009-09-14 07:11:36,7840.75
8,6.9,526.0,56.0,4.7,572,27.0,综合,2009-09-14 07:11:36,5224.4
9,18.33,143.33,207.33,1.33,540,31.0,翻唱,2009-09-14 07:11:36,15564.33
10,10.2,291.4,123.0,1.4,549,26.0,音MAD,2009-09-14 07:11:36,12759.2
11,63.06,661.39,763.5,9.89,495,130.0,音乐选集,2009-09-14 07:11:36,22500.56
12,4.83,159.0,64.0,2.67,533,22.0,鬼畜调教,2009-09-14 07:11:36,5187.17
0,8.0,681.0,93.0,1.0,596,24.0,MAD-AMV,2009-09-24 07:11:36,8791.0
1,3.6,554.0,17.0,0.4,578,17.0,单机联机,2009-09-24 07:11:36,2937.8
2,130.0,1388.0,690.0,8.0,576,168.0,国产原创相关,2009-09-24 07:11:36,26697.0
3,128.33,15731.0,3544.33,11.0,598,32.0,完结动画,2009-09-24 07:11:36,179030.33
4,13.0,370.0,127.5,2.5,606,21.0,日常,2009-09-24 07:11:36,8802.5
5,12.0,190.0,97.0,3.0,610,47.0,短片-手书-配音,2009-09-24 07:11:36,4362.0
6,6.5,231.5,45.5,0.5,599,27.0,综合,2009-09-24 07:11:36,2538.0
7,10.0,89.0,106.0,1.0,580,31.0,翻唱,2009-09-24 07:11:36,6419.0
8,10.0,1589.0,76.0,0.0,603,26.0,音MAD,2009-09-24 07:11:36,3424.0
9,7.0,206.5,54.0,2.0,583,130.0,音乐选集,2009-09-24 07:11:36,3656.5
0,5.0,750.0,110.0,2.0,633,25.0,MMD-3D,2009-10-04 07:11:36,6557.0
1,12.6,483.0,16.0,0.2,624,17.0,单机联机,2009-10-04 07:11:36,3329.8
2,49.0,1469.0,641.0,10.0,642,32.0,完结动画,2009-10-04 07:11:36,20071.0
3,7.0,188.5,75.5,1.75,623,21.0,日常,2009-10-04 07:11:36,6344.0
4,352.5,162.0,4092.0,110.5,637,27.0,综合,2009-10-04 07:11:36,109010.5
5,5.0,260.0,20.0,1.0,612,124.0,趣味科普人文,2009-10-04 07:11:36,-1.0
6,6.0,1690.0,23.5,0.5,618,33.0,连载动画,2009-10-04 07:11:36,3431.5
7,17.0,36.0,41.0,0.0,644,26.0,音MAD,2009-10-04 07:11:36,3817.0
8,8.0,270.67,28.33,0.67,620,130.0,音乐选集,2009-10-04 07:11:36,2701.33
0,37.0,340.17,49.33,0.33,654,24.0,MAD-AMV,2009-10-14 07:11:36,5214.33
1,239.5,188.0,3019.5,103.5,697,30.0,VOCALOID-UTAU,2009-10-14 07:11:36,62129.5
2,6.62,680.62,27.12,0.25,664,17.0,单机联机,2009-10-14 07:11:36,3540.75
3,39.0,1439.0,677.0,1.0,666,32.0,完结动画,2009-10-14 07:11:36,31763.0
4,14.0,229.0,25.5,0.75,690,21.0,日常,2009-10-14 07:11:36,6063.0
5,17.0,274.0,99.0,1.0,662,47.0,短片-手书-配音,2009-10-14 07:11:36,3214.0
6,7.38,5196.12,51.0,1.25,665,27.0,综合,2009-10-14 07:11:36,4987.62
7,13.5,160.5,57.5,1.5,660,31.0,翻唱,2009-10-14 07:11:36,6598.0
8,174.0,1879.0,12.0,0.0,685,33.0,连载动画,2009-10-14 07:11:36,5857.0
9,185.0,221.0,2228.0,178.5,696,26.0,音MAD,2009-10-14 07:11:36,136843.0
10,30.67,661.0,30.67,1.0,688,130.0,音乐选集,2009-10-14 07:11:36,8558.67
11,45.0,106.0,1021.0,9.0,668,136.0,音游,2009-10-14 07:11:36,186785.0
0,16.5,333.0,64.0,1.0,725,29.0,三次元音乐,2009-10-24 07:11:36,10124.0
1,5.0,149.0,28.0,1.0,727,174.0,其他,2009-10-24 07:11:36,3101.0
2,6.67,1950.0,29.0,0.67,718,17.0,单机联机,2009-10-24 07:11:36,4290.33
3,23920.0,219.0,133501.0,3424.0,728,47.0,短片-手书-配音,2009-10-24 07:11:36,2138881.0
