,coin,duration,favorite,like,mostaid,sectid,sectname,time,view
4,17.0,434.0,6.0,0.0,706,27.0,综合,2009-10-24 07:11:36,4089.0
5,10.0,1879.5,11.0,1.0,705,33.0,连载动画,2009-10-24 07:11:36,2960.5
6,26.0,1293.5,86.0,35.75,721,130.0,音乐选集,2009-10-24 07:11:36,6092.25
0,1.0,0.0,9.0,0.0,748,24.0,MAD-AMV,2009-11-03 07:11:36,3919.0
1,21.0,237.0,211.0,3.0,783,30.0,VOCALOID-UTAU,2009-11-03 07:11:36,20603.0
2,2.0,130.0,5.0,1.0,781,29.0,三次元音乐,2009-11-03 07:11:36,3837.0
3,6.18,2022.55,10.55,0.45,792,17.0,单机联机,2009-11-03 07:11:36,3015.09
4,113.5,4804.83,1196.5,10.17,776,32.0,完结动画,2009-11-03 07:11:36,100141.5
5,95.67,218.33,1174.67,9.33,753,21.0,日常,2009-11-03 07:11:36,111121.33
6,2.0,359.0,7.0,2.0,788,171.0,电子竞技,2009-11-03 07:11:36,1721.0
7,4.0,112.0,38.0,1.0,744,47.0,短片-手书-配音,2009-11-03 07:11:36,4102.0
8,21.17,171.83,222.67,2.0,778,27.0,综合,2009-11-03 07:11:36,7537.17
9,2.0,1109.0,7.0,0.0,790,31.0,翻唱,2009-11-03 07:11:36,2116.0
10,6.33,631.11,42.11,0.56,782,130.0,音乐选集,2009-11-03 07:11:36,2567.11
11,11.5,324.5,92.0,1.0,775,22.0,鬼畜调教,2009-11-03 07:11:36,12534.25
0,6.33,888.67,35.33,1.0,836,24.0,MAD-AMV,2009-11-13 07:11:36,2965.0
1,2668.0,215.0,13410.0,440.0,821,126.0,人力VOCALOID,2009-11-13 07:11:36,553704.0
2,26.5,2890.94,11.69,0.69,820,17.0,单机联机,2009-11-13 07:11:36,3962.5
3,14.5,338.5,73.0,1.0,801,21.0,日常,2009-11-13 07:11:36,6563.0
4,439.0,219.0,4099.0,43.0,803,47.0,短片-手书-配音,2009-11-13 07:11:36,78732.0
5,3.0,119.67,22.33,0.67,838,27.0,综合,2009-11-13 07:11:36,2808.33
6,2.0,580.0,14.0,0.0,799,31.0,翻唱,2009-11-13 07:11:36,1368.0
7,7.0,524.2,14.0,0.6,816,130.0,音乐选集,2009-11-13 07:11:36,2556.0
8,9.0,163.5,27.0,0.5,837,22.0,鬼畜调教,2009-11-13 07:11:36,11565.0
0,11.5,458.0,81.0,0.0,856,24.0,MAD-AMV,2009-11-23 07:11:36,5854.0
1,3.0,500.0,69.0,0.0,860,25.0,MMD-3D,2009-11-23 07:11:36,2315.0
2,347.0,879.0,2134.0,1.0,866,29.0,三次元音乐,2009-11-23 07:11:36,94734.0
3,13.38,2115.12,7.75,0.38,850,17.0,单机联机,2009-11-23 07:11:36,3231.62
4,80.0,1449.0,2586.0,10.0,853,32.0,完结动画,2009-11-23 07:11:36,96203.0
5,13.33,783.0,23.0,0.33,858,27.0,综合,2009-11-23 07:11:36,2189.0
6,195.0,275.0,2774.0,12.0,842,31.0,翻唱,2009-11-23 07:11:36,79758.0
7,1876.0,285.0,12909.0,81.0,848,26.0,音MAD,2009-11-23 07:11:36,383289.0
8,12.0,245.8,29.4,0.8,870,130.0,音乐选集,2009-11-23 07:11:36,2920.2
9,7.0,105.0,42.0,0.0,843,22.0,鬼畜调教,2009-11-23 07:11:36,9321.0
0,171.33,212.67,991.0,27.67,918,24.0,MAD-AMV,2009-12-03 07:11:36,27222.0
1,2.0,416.0,8.0,0.0,917,25.0,MMD-3D,2009-12-03 07:11:36,953.0
2,3.0,691.0,5.0,0.0,901,19.0,Mugen,2009-12-03 07:11:36,4434.0
3,3.0,109.0,18.0,5.0,878,30.0,VOCALOID-UTAU,2009-12-03 07:11:36,4516.0
4,126.0,255.0,1147.0,11.0,897,126.0,人力VOCALOID,2009-12-03 07:11:36,46815.0
5,5.83,305.17,13.0,2.67,892,17.0,单机联机,2009-12-03 07:11:36,4260.5
6,66.5,166.0,62.0,12.0,888,21.0,日常,2009-12-03 07:11:36,13338.5
7,2.5,178.5,22.25,0.75,876,47.0,短片-手书-配音,2009-12-03 07:11:36,2214.75
8,4.67,133.0,41.33,1.0,912,27.0,综合,2009-12-03 07:11:36,1864.33
9,23.0,333.0,323.0,12.0,896,26.0,音MAD,2009-12-03 07:11:36,30522.0
10,8.8,212.2,75.0,3.8,893,130.0,音乐选集,2009-12-03 07:11:36,15776.4
11,57.0,119.0,560.0,3.5,911,22.0,鬼畜调教,2009-12-03 07:11:36,125747.5
0,1.0,577.0,11.0,0.0,923,19.0,Mugen,2009-12-13 07:11:36,4287.0
1,5.0,243.0,83.0,4.0,925,30.0,VOCALOID-UTAU,2009-12-13 07:11:36,4106.0
2,3.0,11.0,37.0,1.0,922,31.0,翻唱,2009-12-13 07:11:36,5287.0
3,3.0,666.0,21.67,1.33,926,130.0,音乐选集,2009-12-13 07:11:36,2319.0
0,6.0,133.0,44.0,3.0,1001,30.0,VOCALOID-UTAU,2009-12-23 07:11:36,2992.0
1,9.8,622.0,12.4,1.0,989,17.0,单机联机,2009-12-23 07:11:36,3390.8
2,4.5,109.5,39.5,2.5,975,20.0,宅舞,2009-12-23 07:11:36,9572.5
3,10.0,355.6,24.8,1.4,984,21.0,日常,2009-12-23 07:11:36,3709.2
4,16.17,619.83,78.0,2.0,992,27.0,综合,2009-12-23 07:11:36,6235.67
5,73.86,635.43,540.14,22.86,1002,130.0,音乐选集,2009-12-23 07:11:36,19261.0
0,7.2,145.0,32.8,1.9,1196,24.0,MAD-AMV,2010-01-02 07:11:36,3289.1
1,4.0,444.0,15.0,0.0,1080,25.0,MMD-3D,2010-01-02 07:11:36,2167.0
2,6.45,255.09,97.45,2.18,1135,30.0,VOCALOID-UTAU,2010-01-02 07:11:36,3411.36
3,2.8,302.6,15.0,0.4,1222,29.0,三次元音乐,2010-01-02 07:11:36,2352.8
4,47.5,74.5,381.0,9.5,1042,126.0,人力VOCALOID,2010-01-02 07:11:36,30863.5
5,17.0,153.0,85.0,1.0,1063,174.0,其他,2010-01-02 07:11:36,9011.0
6,11.43,660.13,71.13,1.17,1340,17.0,单机联机,2010-01-02 07:11:36,12087.33
7,10.33,1170.67,216.0,5.0,1299,20.0,宅舞,2010-01-02 07:11:36,25208.0
8,48.83,1346.83,1044.67,8.17,1139,32.0,完结动画,2010-01-02 07:11:36,79541.5
9,31.0,1030.0,362.0,2.0,1153,152.0,官方延伸,2010-01-02 07:11:36,-1.0
10,10.9,259.69,61.1,1.66,1076,21.0,日常,2010-01-02 07:11:36,8040.34
11,1.0,348.0,2.0,1.0,1035,171.0,电子竞技,2010-01-02 07:11:36,1348.0
12,44.5,324.5,550.67,6.17,1189,47.0,短片-手书-配音,2010-01-02 07:11:36,14886.67
13,21.36,395.9,120.28,2.38,1082,27.0,综合,2010-01-02 07:11:36,10096.85
14,33.15,350.31,218.54,3.0,1231,31.0,翻唱,2010-01-02 07:11:36,15851.38
15,193.67,1210.67,713.33,0.33,1013,33.0,连载动画,2010-01-02 07:11:36,197494.33
16,10.0,756.0,171.0,3.0,1121,122.0,野生技术协会,2010-01-02 07:11:36,8063.0
17,57.5,148.5,274.5,6.5,1162,26.0,音MAD,2010-01-02 07:11:36,13250.5
18,12.0,321.94,114.94,1.1,1279,130.0,音乐选集,2010-01-02 07:11:36,6691.48
19,4.0,73.5,9.0,0.5,1215,22.0,鬼畜调教,2010-01-02 07:11:36,4495.0
0,9.08,221.08,138.85,0.54,1464,24.0,MAD-AMV,2010-01-22 07:11:36,7362.23
1,25.29,345.71,131.43,0.29,1774,25.0,MMD-3D,2010-01-22 07:11:36,6618.0
2,0.67,737.0,2.33,0.33,1750,19.0,Mugen,2010-01-22 07:11:36,2106.67
3,14.27,281.38,71.78,2.22,1579,30.0,VOCALOID-UTAU,2010-01-22 07:11:36,1934.89
4,146.33,479.0,23.22,0.33,1564,29.0,三次元音乐,2010-01-22 07:11:36,4716.11
5,9.0,301.33,185.33,0.0,1581,174.0,其他,2010-01-22 07:11:36,23443.0
6,6.18,508.33,30.82,0.61,1574,17.0,单机联机,2010-01-22 07:11:36,5463.58
7,172.0,262.5,125.0,1.5,1407,153.0,国产动画,2010-01-22 07:11:36,8536.0
8,11.0,901.0,364.0,0.0,1699,20.0,宅舞,2010-01-22 07:11:36,20995.0
9,38.0,1770.14,491.43,1.0,1587,32.0,完结动画,2010-01-22 07:11:36,27327.57
10,28.68,417.85,195.39,2.61,1686,22.29,日常,2010-01-22 07:11:36,19443.66
11,22.17,283.67,308.17,4.5,1612,47.0,短片-手书-配音,2010-01-22 07:11:36,9336.5
12,63.41,595.06,176.03,1.71,1501,27.0,综合,2010-01-22 07:11:36,10760.26
13,113.84,271.68,427.58,5.16,1389,31.0,翻唱,2010-01-22 07:11:36,30198.68
14,37.54,1185.62,85.15,0.23,1670,33.0,连载动画,2010-01-22 07:11:36,61202.54
15,84.33,89.0,558.67,6.0,1548,26.0,音MAD,2010-01-22 07:11:36,1487.33
16,21.7,463.85,129.7,3.36,1794,130.0,音乐选集,2010-01-22 07:11:36,10461.79
17,7.0,122.0,21.0,1.0,1552,136.0,音游,2010-01-22 07:11:36,3197.0
18,26.38,396.5,517.88,6.25,1526,22.0,鬼畜调教,2010-01-22 07:11:36,35659.12
0,4.56,245.78,24.22,6.0,2075,24.0,MAD-AMV,2010-02-01 07:11:36,2944.33
1,2.12,175.25,29.38,0.38,1895,25.0,MMD-3D,2010-02-01 07:11:36,2912.38
2,1.0,821.5,8.5,0.5,2009,19.0,Mugen,2010-02-01 07:11:36,2322.5
3,6.26,250.26,50.41,2.03,2162,30.0,VOCALOID-UTAU,2010-02-01 07:11:36,3194.92
4,34.0,208.5,201.0,11.0,2018,29.0,三次元音乐,2010-02-01 07:11:36,7142.5
5,8.0,245.0,48.5,0.0,1935,174.0,其他,2010-02-01 07:11:36,8696.25
6,2.9,566.81,11.79,0.74,1961,17.0,单机联机,2010-02-01 07:11:36,4433.05
7,3.0,1560.0,15.0,2.0,2013,153.0,国产动画,2010-02-01 07:11:36,11180.0
8,38.67,2878.0,1059.17,2.0,2246,32.0,完结动画,2010-02-01 07:11:36,52395.67
9,7.0,107.0,3.0,2.0,1984,183.0,影视剪辑,2010-02-01 07:11:36,4087.0
10,2.0,56.0,2.0,0.0,1799,172.0,手机游戏,2010-02-01 07:11:36,1996.0
11,11.0,193.0,59.0,0.0,1798,138.0,搞笑,2010-02-01 07:11:36,24243.0
12,5.63,300.46,52.41,0.98,1933,21.0,日常,2010-02-01 07:11:36,9243.22
13,227.0,420.0,2205.0,118.0,1879,171.0,电子竞技,2010-02-01 07:11:36,183951.0
14,70.6,275.0,903.6,7.2,2233,47.0,短片-手书-配音,2010-02-01 07:11:36,27729.2
15,457.06,423.18,2218.8,68.35,2169,27.53,综合,2010-02-01 07:11:36,6606.39
16,45.35,238.71,308.88,4.29,2010,31.0,翻唱,2010-02-01 07:11:36,21993.59
17,10.0,1335.09,20.55,0.64,1834,33.0,连载动画,2010-02-01 07:11:36,14962.27
18,233.0,106.2,1891.8,10.2,2056,26.0,音MAD,2010-02-01 07:11:36,73051.2
19,8.08,351.24,83.84,4.68,2038,130.0,音乐选集,2010-02-01 07:11:36,6703.27
20,11.58,164.0,172.25,0.92,1902,22.0,鬼畜调教,2010-02-01 07:11:36,24892.17
0,41.88,273.67,274.67,1.12,2707,24.0,MAD-AMV,2010-02-11 07:11:36,13088.24
1,12.25,219.08,199.58,3.33,2745,25.0,MMD-3D,2010-02-11 07:11:36,6393.5
2,40.0,130.0,11.0,1.0,2501,19.0,Mugen,2010-02-11 07:11:36,7792.0
3,29.75,259.21,80.71,3.25,2483,30.0,VOCALOID-UTAU,2010-02-11 07:11:36,3156.17
4,16.0,380.83,142.83,2.5,2333,29.0,三次元音乐,2010-02-11 07:11:36,10464.0
5,132.0,144.0,93.0,0.0,2479,126.0,人力VOCALOID,2010-02-11 07:11:36,14633.0
6,39.52,785.37,33.1,0.62,2612,17.0,单机联机,2010-02-11 07:11:36,8745.9
7,3.0,313.0,40.0,0.0,2516,20.0,宅舞,2010-02-11 07:11:36,7990.0
8,295.25,4795.25,1608.75,2.88,2313,32.0,完结动画,2010-02-11 07:11:36,192986.12
9,7.0,1000.0,22.0,0.0,2728,169.0,布袋戏,2010-02-11 07:11:36,5210.0
10,31.65,426.41,89.46,1.16,2386,21.0,日常,2010-02-11 07:11:36,12820.89
11,4.0,64.0,15.0,0.0,2624,98.0,机械,2010-02-11 07:11:36,8829.0
12,181.0,284.0,1898.0,3.0,2332,59.0,演奏,2010-02-11 07:11:36,191941.0
13,3.0,101.0,4.0,0.0,2320,171.0,电子竞技,2010-02-11 07:11:36,3461.0
14,88.33,656.22,1421.56,27.56,2557,47.0,短片-手书-配音,2010-02-11 07:11:36,46098.67
15,50.44,549.23,397.33,9.5,2729,27.0,综合,2010-02-11 07:11:36,14876.62
16,40.12,247.32,112.08,0.72,2399,31.0,翻唱,2010-02-11 07:11:36,8604.08
17,16.29,1479.0,28.29,0.14,2661,33.0,连载动画,2010-02-11 07:11:36,12028.14
18,16.67,105.33,67.67,0.33,2616,26.0,音MAD,2010-02-11 07:11:36,4098.33
19,26.53,378.62,130.0,1.02,2380,130.0,音乐选集,2010-02-11 07:11:36,9704.16
20,1493.0,124.0,142.0,0.0,2577,184.0,预告 资讯,2010-02-11 07:11:36,90228.0
21,223.5,127.0,953.5,147.0,2725,22.0,鬼畜调教,2010-02-11 07:11:36,73313.0
0,38.17,184.03,176.5,1.47,3450,24.0,MAD-AMV,2010-02-21 07:11:36,6562.77
1,0.0,581.4,17.2,0.2,3602,25.0,MMD-3D,2010-02-21 07:11:36,1857.8
2,0.91,667.27,2.64,0.27,3494,19.0,Mugen,2010-02-21 07:11:36,2438.18
3,36.25,282.45,126.02,7.38,3093,30.0,VOCALOID-UTAU,2010-02-21 07:11:36,5700.6
4,24.29,407.71,137.57,0.71,3323,29.0,三次元音乐,2010-02-21 07:11:36,16064.43
5,44.5,133.5,378.0,2.0,3085,126.0,人力VOCALOID,2010-02-21 07:11:36,33413.0
6,5.4,167.4,215.0,0.0,3065,174.0,其他,2010-02-21 07:11:36,15673.2
7,2.0,130.0,20.0,0.0,3493,75.0,动物圈,2010-02-21 07:11:36,4849.0
8,7.75,663.37,18.17,0.37,3372,17.0,单机联机,2010-02-21 07:11:36,5747.19
9,57.0,631.0,49.0,2.0,2921,20.0,宅舞,2010-02-21 07:11:36,30756.0
10,57.83,3083.83,1120.0,5.17,3271,32.0,完结动画,2010-02-21 07:11:36,41371.08
11,4.0,410.5,102.5,1.5,2966,183.0,影视剪辑,2010-02-21 07:11:36,13918.5
12,2.0,130.0,1.0,0.0,2950,138.0,搞笑,2010-02-21 07:11:36,4170.0
13,16.0,1172.0,1164.0,0.0,2995,127.0,教程演示,2010-02-21 07:11:36,26991.0
14,14.9,190.37,182.13,3.17,3097,21.0,日常,2010-02-21 07:11:36,6257.8
15,0.5,774.67,2.5,0.0,3155,171.0,电子竞技,2010-02-21 07:11:36,2672.17
16,9.4,106.8,45.2,0.0,3565,47.0,短片-手书-配音,2010-02-21 07:11:36,3305.8
17,98.11,411.45,345.53,21.29,3563,27.0,综合,2010-02-21 07:11:36,14138.33
18,15.06,218.68,110.16,0.55,2848,31.0,翻唱,2010-02-21 07:11:36,6221.06
19,30.33,1636.5,398.33,1.17,3177,33.0,连载动画,2010-02-21 07:11:36,66558.83
20,35.11,308.33,258.67,4.0,3227,26.0,音MAD,2010-02-21 07:11:36,19145.11
21,22.19,1126.47,234.16,1.45,3206,130.0,音乐选集,2010-02-21 07:11:36,11644.62
22,1.0,258.0,1.0,0.0,3285,136.0,音游,2010-02-21 07:11:36,2105.0
23,34.12,728.59,216.59,2.47,3094,22.0,鬼畜调教,2010-02-21 07:11:36,22832.35
0,3.87,183.67,58.73,0.4,3774,24.0,MAD-AMV,2010-03-03 07:11:36,3221.27
1,0.0,326.0,6.0,0.5,4001,25.0,MMD-3D,2010-03-03 07:11:36,938.5
2,0.0,703.0,2.17,0.0,3715,19.0,Mugen,2010-03-03 07:11:36,1360.0
3,2.21,298.59,43.28,1.15,3778,30.0,VOCALOID-UTAU,2010-03-03 07:11:36,3332.87
4,23.33,716.67,175.0,6.33,3815,29.0,三次元音乐,2010-03-03 07:11:36,7107.67
5,3.0,140.33,56.33,1.0,4038,126.0,人力VOCALOID,2010-03-03 07:11:36,7130.0
6,679.0,404.0,4035.0,270.5,3813,174.0,其他,2010-03-03 07:11:36,-1.0
7,2.21,543.94,32.55,0.33,3767,17.0,单机联机,2010-03-03 07:11:36,4823.82
8,2.0,1552.0,1.0,0.0,3741,153.0,国产动画,2010-03-03 07:11:36,4729.0
9,0.0,252.0,49.0,0.0,3756,20.0,宅舞,2010-03-03 07:11:36,8185.0
